Front	Back
Lobes of the Brain	Frontal, parietal, temporal, and occipital lobes.
Cerebrum	The largest part of the brain, responsible for reasoning, emotion, learning, and voluntary movements.
Cerebellum	Located at the back of the brain, responsible for posture and motor control.
Brianstem	The connection at the base of the brain connecting to the spinal cord, responsible for regulating involuntary functions.
